"","X","ORA","CONSUNTIVO","PREVISIONE","DATA","Q","month"
"1",24,"Totale:",742.77,722.99,2020-04-01,2020.2,"2020-4"
"2",24,"Totale:",706.645,726.654,2020-04-02,2020.2,"2020-4"
"3",24,"Totale:",689.665,691.717,2020-04-03,2020.2,"2020-4"
"4",24,"Totale:",610.465,602.531,2020-04-04,2020.2,"2020-4"
"5",24,"Totale:",559.327,562.681,2020-04-05,2020.2,"2020-4"
"6",24,"Totale:",681.93,676.64,2020-04-06,2020.2,"2020-4"
"7",24,"Totale:",701.291,702.39,2020-04-07,2020.2,"2020-4"
"8",24,"Totale:",714.375,713.158,2020-04-08,2020.2,"2020-4"
"9",24,"Totale:",709.222,711.559,2020-04-09,2020.2,"2020-4"
"10",24,"Totale:",676.429,692.284,2020-04-10,2020.2,"2020-4"
"11",24,"Totale:",574.326,585.695,2020-04-11,2020.2,"2020-4"
"12",24,"Totale:",NA,585.695,2020-04-11,2020.2,"2020-4"
"13",24,"Totale:",535.77,554.231,2020-04-12,2020.2,"2020-4"
"14",24,"Totale:",529.172,546.764,2020-04-13,2020.2,"2020-4"
"15",24,"Totale:",667.91,674.664,2020-04-14,2020.2,"2020-4"
"16",24,"Totale:",693.537,683.574,2020-04-15,2020.2,"2020-4"
"17",24,"Totale:",693.091,691.005,2020-04-16,2020.2,"2020-4"
"18",24,"Totale:",683.786,676.213,2020-04-17,2020.2,"2020-4"
"19",24,"Totale:",600.451,587.067,2020-04-18,2020.2,"2020-4"
"20",24,"Totale:",549.462,556.04,2020-04-19,2020.2,"2020-4"
