,ORA,CONSUNTIVO,PREVISIONE,DATA
0,01:00,"29,715","29,643",28/02/2020
1,02:00,"27,985","28,028",28/02/2020
2,03:00,"27,247","27,236",28/02/2020
3,04:00,"27,111","27,173",28/02/2020
4,05:00,"27,499","27,429",28/02/2020
5,06:00,"29,460","29,630",28/02/2020
6,07:00,"34,657","34,980",28/02/2020
7,08:00,"40,750","40,908",28/02/2020
8,09:00,"46,225","46,476",28/02/2020
9,10:00,"47,863","48,014",28/02/2020
10,11:00,"47,660","47,968",28/02/2020
11,12:00,"47,436","47,718",28/02/2020
12,13:00,"45,356","45,739",28/02/2020
13,14:00,"44,004","44,658",28/02/2020
14,15:00,"44,066","46,930",28/02/2020
15,16:00,"44,103","47,353",28/02/2020
16,17:00,"43,701","45,033",28/02/2020
17,18:00,"43,152","44,533",28/02/2020
18,19:00,"45,708","46,442",28/02/2020
19,20:00,"46,107","46,827",28/02/2020
20,21:00,"43,188","44,023",28/02/2020
21,22:00,"39,398","40,497",28/02/2020
22,23:00,"35,035","36,297",28/02/2020
23,24:00,"31,777","32,693",28/02/2020
24,Totale:,"939,203","956,228",28/02/2020
0,01:00,"29,955","30,346",01/10/2019
1,02:00,"28,165","28,522",01/10/2019
2,03:00,"27,332","27,672",01/10/2019
3,04:00,"26,831","27,257",01/10/2019
4,05:00,"27,295","27,325",01/10/2019
5,06:00,"29,315","28,818",01/10/2019
6,07:00,"34,627","33,910",01/10/2019
7,08:00,"39,748","39,135",01/10/2019
8,09:00,"43,750","43,531",01/10/2019
9,10:00,"45,560","45,611",01/10/2019
10,11:00,"46,430","45,778",01/10/2019
11,12:00,"46,457","45,665",01/10/2019
12,13:00,"44,502","44,464",01/10/2019
13,14:00,"44,940","43,750",01/10/2019
14,15:00,"45,987","45,046",01/10/2019
15,16:00,"45,565","45,281",01/10/2019
16,17:00,"45,916","45,035",01/10/2019
17,18:00,"44,627","44,128",01/10/2019
18,19:00,"43,983","42,747",01/10/2019
19,20:00,"46,179","45,244",01/10/2019
20,21:00,"44,255","44,203",01/10/2019
21,22:00,"40,891","41,202",01/10/2019
22,23:00,"36,878","37,379",01/10/2019
23,24:00,"33,444","33,633",01/10/2019
24,Totale:,"942,632","935,682",01/10/2019
0,01:00,"33,039","33,028",13/06/2018
1,02:00,"31,128","30,854",13/06/2018
2,03:00,"30,079","29,741",13/06/2018
3,04:00,"29,722","29,320",13/06/2018
4,05:00,"29,816","29,366",13/06/2018
