,ORA,CONSUNTIVO,PREVISIONE,DATA
0,01:00,"21,554","22,054",26/04/2020
1,02:00,"19,857","20,224",26/04/2020
2,03:00,"19,100","19,428",26/04/2020
3,04:00,"18,662","19,057",26/04/2020
4,05:00,"18,829","19,056",26/04/2020
5,06:00,"19,285","19,571",26/04/2020
6,07:00,"18,642","19,345",26/04/2020
7,08:00,"19,500","19,547",26/04/2020
8,09:00,"21,276","21,203",26/04/2020
9,10:00,"22,904","23,088",26/04/2020
10,11:00,"24,205","24,569",26/04/2020
11,12:00,"25,383","25,749",26/04/2020
12,13:00,"26,298","26,317",26/04/2020
13,14:00,"24,700","25,275",26/04/2020
14,15:00,"24,088","24,099",26/04/2020
15,16:00,"23,449","23,760",26/04/2020
16,17:00,"23,412","23,541",26/04/2020
17,18:00,"23,530","24,077",26/04/2020
18,19:00,"24,786","25,323",26/04/2020
19,20:00,"26,916","27,823",26/04/2020
20,21:00,"28,731","30,142",26/04/2020
21,22:00,"27,943","28,766",26/04/2020
22,23:00,"26,055","26,392",26/04/2020
23,24:00,"23,433","23,530",26/04/2020
24,Totale:,"552,538","561,936",26/04/2020
0,01:00,"23,647","23,727",16/04/2020
1,02:00,"22,208","22,139",16/04/2020
2,03:00,"21,576","21,299",16/04/2020
3,04:00,"21,372","21,143",16/04/2020
4,05:00,"21,484","21,290",16/04/2020
5,06:00,"22,566","22,120",16/04/2020
6,07:00,"24,723","24,658",16/04/2020
7,08:00,"27,851","28,070",16/04/2020
8,09:00,"31,554","31,742",16/04/2020
9,10:00,"32,822","32,972",16/04/2020
10,11:00,"32,822","33,264",16/04/2020
11,12:00,"32,888","33,192",16/04/2020
12,13:00,"31,949","32,086",16/04/2020
13,14:00,"31,914","31,657",16/04/2020
14,15:00,"31,935","31,078",16/04/2020
15,16:00,"31,295","30,801",16/04/2020
16,17:00,"31,645","31,134",16/04/2020
17,18:00,"31,160","31,120",16/04/2020
18,19:00,"31,065","31,002",16/04/2020
19,20:00,"33,043","32,177",16/04/2020
20,21:00,"34,763","34,697",16/04/2020
21,22:00,"32,848","33,219",16/04/2020
22,23:00,"29,441","29,750",16/04/2020
23,24:00,"26,520","26,668",16/04/2020
24,Totale:,"693,091","691,005",16/04/2020
0,01:00,"24,681","24,664",23/04/2020
1,02:00,"23,173","23,361",23/04/2020
2,03:00,"22,511","22,605",23/04/2020
3,04:00,"22,267","22,346",23/04/2020
4,05:00,"22,351","22,279",23/04/2020
5,06:00,"23,253","23,275",23/04/2020
6,07:00,"25,313","25,534",23/04/2020
7,08:00,"28,910","28,962",23/04/2020
8,09:00,"33,587","33,491",23/04/2020
9,10:00,"34,843","35,319",23/04/2020
10,11:00,"34,728","35,542",23/04/2020
11,12:00,"34,822","35,539",23/04/2020
12,13:00,"33,193","35,159",23/04/2020
13,14:00,"32,957","34,781",23/04/2020
14,15:00,"33,095","34,655",23/04/2020
15,16:00,"32,589","34,028",23/04/2020
16,17:00,"32,546","33,427",23/04/2020
17,18:00,"32,018","32,767",23/04/2020
18,19:00,"32,251","32,947",23/04/2020
19,20:00,"33,818","34,650",23/04/2020
20,21:00,"35,367","35,618",23/04/2020
21,22:00,"33,758","33,811",23/04/2020
22,23:00,"29,989","30,296",23/04/2020
23,24:00,"27,035","27,346",23/04/2020
24,Totale:,"719,055","732,402",23/04/2020
0,01:00,"25,248","23,830",21/04/2020
1,02:00,"23,562","22,167",21/04/2020
2,03:00,"22,618","21,175",21/04/2020
3,04:00,"22,312","20,973",21/04/2020
4,05:00,"22,735","21,296",21/04/2020
5,06:00,"23,695","22,568",21/04/2020
6,07:00,"26,274","25,888",21/04/2020
7,08:00,"29,745","29,186",21/04/2020
8,09:00,"33,749","33,632",21/04/2020
9,10:00,"35,725","35,864",21/04/2020
10,11:00,"36,407","36,243",21/04/2020
11,12:00,"36,289","36,362",21/04/2020
12,13:00,"34,977","36,177",21/04/2020
13,14:00,"34,019","35,120",21/04/2020
14,15:00,"34,072","35,100",21/04/2020
15,16:00,"33,546","34,568",21/04/2020
16,17:00,"33,080","34,761",21/04/2020
17,18:00,"32,723","34,126",21/04/2020
18,19:00,"33,393","34,643",21/04/2020
19,20:00,"35,424","36,377",21/04/2020
20,21:00,"36,280","37,194",21/04/2020
21,22:00,"34,108","35,125",21/04/2020
22,23:00,"30,753","31,505",21/04/2020
23,24:00,"27,801","28,333",21/04/2020
24,Totale:,"738,535","742,213",21/04/2020
0,01:00,"23,749","23,232",15/04/2020
1,02:00,"22,343","21,322",15/04/2020
2,03:00,"21,472","20,426",15/04/2020
3,04:00,"21,193","19,986",15/04/2020
4,05:00,"21,271","20,192",15/04/2020
5,06:00,"22,395","21,222",15/04/2020
6,07:00,"24,580","23,947",15/04/2020
7,08:00,"27,833","26,613",15/04/2020
8,09:00,"32,341","31,847",15/04/2020
9,10:00,"33,813","33,261",15/04/2020
10,11:00,"33,640","33,281",15/04/2020
11,12:00,"32,894","33,266",15/04/2020
12,13:00,"31,854","32,399",15/04/2020
13,14:00,"31,443","31,806",15/04/2020
14,15:00,"31,416","31,900",15/04/2020
15,16:00,"31,090","31,541",15/04/2020
16,17:00,"31,147","31,269",15/04/2020
17,18:00,"30,988","30,921",15/04/2020
18,19:00,"30,923","30,871",15/04/2020
19,20:00,"33,042","32,706",15/04/2020
20,21:00,"34,997","33,999",15/04/2020
21,22:00,"33,030","32,393",15/04/2020
22,23:00,"29,553","28,916",15/04/2020
23,24:00,"26,530","26,258",15/04/2020
24,Totale:,"693,537","683,574",15/04/2020
0,01:00,"21,644","21,916",20/04/2020
1,02:00,"20,170","20,417",20/04/2020
2,03:00,"19,505","19,868",20/04/2020
3,04:00,"19,428","19,782",20/04/2020
4,05:00,"19,738","19,985",20/04/2020
5,06:00,"21,077","20,629",20/04/2020
6,07:00,"24,299","22,948",20/04/2020
7,08:00,"27,994","26,348",20/04/2020
8,09:00,"32,112","29,732",20/04/2020
9,10:00,"34,566","31,864",20/04/2020
10,11:00,"35,325","32,589",20/04/2020
11,12:00,"35,666","32,241",20/04/2020
12,13:00,"34,460","31,451",20/04/2020
