,ORA,CONSUNTIVO,PREVISIONE,DATA
0,01:00,"25,078","24,782",11/05/2015
1,02:00,"23,593","23,142",11/05/2015
2,03:00,"22,846","22,595",11/05/2015
3,04:00,"22,742","22,490",11/05/2015
4,05:00,"23,262","23,216",11/05/2015
5,06:00,"24,847","24,834",11/05/2015
6,07:00,"28,511","28,559",11/05/2015
7,08:00,"34,791","35,024",11/05/2015
8,09:00,"40,040","40,239",11/05/2015
9,10:00,"41,697","41,650",11/05/2015
10,11:00,"41,850","42,131",11/05/2015
11,12:00,"41,667","42,693",11/05/2015
12,13:00,"40,228","40,381",11/05/2015
13,14:00,"39,995","40,466",11/05/2015
14,15:00,"41,527","42,315",11/05/2015
15,16:00,"41,815","42,452",11/05/2015
16,17:00,"40,652","41,342",11/05/2015
17,18:00,"40,416","39,965",11/05/2015
18,19:00,"38,708","38,435",11/05/2015
19,20:00,"38,449","38,348",11/05/2015
20,21:00,"39,386","39,836",11/05/2015
21,22:00,"38,884","39,211",11/05/2015
22,23:00,"35,291","35,256",11/05/2015
23,24:00,"31,842","31,909",11/05/2015
24,Totale:,"838,117","841,271",11/05/2015
0,01:00,"23,454","22,164",07/04/2015
1,02:00,"21,559","20,396",07/04/2015
2,03:00,"20,832","19,777",07/04/2015
3,04:00,"20,589","19,745",07/04/2015
4,05:00,"21,017","20,276",07/04/2015
5,06:00,"23,614","22,668",07/04/2015
6,07:00,"29,147","27,758",07/04/2015
7,08:00,"34,587","32,679",07/04/2015
8,09:00,"41,233","39,452",07/04/2015
9,10:00,"44,479","42,967",07/04/2015
10,11:00,"45,269","43,701",07/04/2015
11,12:00,"45,879","44,021",07/04/2015
12,13:00,"43,368","42,002",07/04/2015
13,14:00,"43,378","41,720",07/04/2015
14,15:00,"43,684","42,246",07/04/2015
15,16:00,"43,643","42,084",07/04/2015
16,17:00,"42,549","41,322",07/04/2015
17,18:00,"40,946","39,953",07/04/2015
18,19:00,"40,028","39,149",07/04/2015
19,20:00,"41,628","40,721",07/04/2015
20,21:00,"43,772","42,443",07/04/2015
21,22:00,"41,130","39,859",07/04/2015
22,23:00,"36,833","35,778",07/04/2015
23,24:00,"32,742","32,088",07/04/2015
24,Totale:,"865,360","834,969",07/04/2015
0,01:00,"29,509","29,636",01/04/2015
1,02:00,"27,503","27,718",01/04/2015
2,03:00,"26,450","26,746",01/04/2015
3,04:00,"26,130","26,362",01/04/2015
4,05:00,"26,349","26,512",01/04/2015
5,06:00,"28,134","28,032",01/04/2015
6,07:00,"33,142","32,817",01/04/2015
7,08:00,"38,239","38,314",01/04/2015
8,09:00,"43,035","43,215",01/04/2015
9,10:00,"44,107","44,829",01/04/2015
10,11:00,"44,165","44,742",01/04/2015
11,12:00,"43,515","44,470",01/04/2015
12,13:00,"41,266","42,183",01/04/2015
13,14:00,"41,067","41,569",01/04/2015
14,15:00,"42,120","42,983",01/04/2015
15,16:00,"41,867","43,203",01/04/2015
16,17:00,"41,557","42,750",01/04/2015
17,18:00,"40,729","41,917",01/04/2015
18,19:00,"40,165","40,956",01/04/2015
19,20:00,"42,050","42,691",01/04/2015
20,21:00,"43,562","43,291",01/04/2015
21,22:00,"40,770","40,173",01/04/2015
22,23:00,"36,838","36,528",01/04/2015
23,24:00,"33,313","32,949",01/04/2015
24,Totale:,"895,582","904,586",01/04/2015
0,01:00,"28,484","28,058",05/05/2015
1,02:00,"26,689","26,506",05/05/2015
2,03:00,"25,967","25,814",05/05/2015
3,04:00,"25,712","25,246",05/05/2015
4,05:00,"25,982","25,404",05/05/2015
5,06:00,"27,146","26,662",05/05/2015
6,07:00,"30,158","29,625",05/05/2015
7,08:00,"35,900","35,371",05/05/2015
8,09:00,"41,579","40,645",05/05/2015
9,10:00,"43,187","42,528",05/05/2015
10,11:00,"42,955","42,241",05/05/2015
11,12:00,"43,133","42,580",05/05/2015
12,13:00,"41,019","40,684",05/05/2015
13,14:00,"40,843","40,698",05/05/2015
14,15:00,"42,049","41,661",05/05/2015
15,16:00,"42,015","41,894",05/05/2015
16,17:00,"41,926","41,495",05/05/2015
17,18:00,"40,771","40,528",05/05/2015
18,19:00,"39,462","39,249",05/05/2015
19,20:00,"39,613","39,408",05/05/2015
20,21:00,"40,930","40,965",05/05/2015
21,22:00,"39,219","38,998",05/05/2015
22,23:00,"35,099","34,941",05/05/2015
23,24:00,"31,800","31,674",05/05/2015
24,Totale:,"871,638","862,875",05/05/2015
0,01:00,"23,317","23,552",04/05/2015
1,02:00,"21,928","22,121",04/05/2015
2,03:00,"21,062","21,472",04/05/2015
3,04:00,"20,840","21,366",04/05/2015
4,05:00,"21,447","21,873",04/05/2015
5,06:00,"23,356","23,728",04/05/2015
6,07:00,"27,496","27,747",04/05/2015
7,08:00,"34,151","34,725",04/05/2015
8,09:00,"39,791","40,122",04/05/2015
9,10:00,"41,379","41,561",04/05/2015
10,11:00,"41,626","41,736",04/05/2015
11,12:00,"41,870","42,039",04/05/2015
12,13:00,"39,342","39,470",04/05/2015
13,14:00,"38,867","39,614",04/05/2015
14,15:00,"39,858","40,558",04/05/2015
15,16:00,"39,805","40,753",04/05/2015
16,17:00,"39,963","39,186",04/05/2015
17,18:00,"39,409","38,421",04/05/2015
18,19:00,"38,160","37,460",04/05/2015
19,20:00,"38,602","37,754",04/05/2015
20,21:00,"40,319","40,080",04/05/2015
21,22:00,"38,882","38,507",04/05/2015
22,23:00,"34,777","34,282",04/05/2015
23,24:00,"31,347","30,889",04/05/2015
24,Totale:,"817,594","819,016",04/05/2015
0,01:00,"27,644","27,614",04/04/2015
1,02:00,"25,626","25,663",04/04/2015
2,03:00,"24,325","24,612",04/04/2015
3,04:00,"23,632","23,831",04/04/2015
4,05:00,"23,310","23,586",04/04/2015
5,06:00,"23,631","24,101",04/04/2015
6,07:00,"24,931","25,693",04/04/2015
7,08:00,"27,042","27,856",04/04/2015
8,09:00,"30,702","31,636",04/04/2015
9,10:00,"33,136","34,469",04/04/2015
10,11:00,"33,598","34,910",04/04/2015
11,12:00,"33,276","34,523",04/04/2015
