"Date","Cons"
"1",Gen 2002,8471
"2",Feb 2002,7785
"3",Mar 2002,7911
"4",Apr 2002,7192
"5",Mag 2002,7503
"6",Giu 2002,7557
"7",Lug 2002,8286
"8",Ago 2002,7229
"9",Set 2002,7529
"10",Ott 2002,8007
"11",Nov 2002,7713
"12",Dic 2002,8100
"13",Gen 2003,7905
"14",Feb 2003,7510
"15",Mar 2003,7646
"16",Apr 2003,7638
"17",Mag 2003,7538
"18",Giu 2003,7581
"19",Lug 2003,8393
"20",Ago 2003,7413
"21",Set 2003,7861
"22",Ott 2003,8239
"23",Nov 2003,7157
"24",Dic 2003,8093
"25",Gen 2004,7648
"26",Feb 2004,7238
"27",Mar 2004,7984
"28",Apr 2004,7068
"29",Mag 2004,7029
"30",Giu 2004,7148
"31",Lug 2004,7938
"32",Ago 2004,6795
"33",Set 2004,7591
"34",Ott 2004,7458
"35",Nov 2004,7534
"36",Dic 2004,8211
"37",Gen 2005,7324
"38",Feb 2005,7132
"39",Mar 2005,7593
"40",Apr 2005,6741
"41",Mag 2005,7195
"42",Giu 2005,7011
"43",Lug 2005,7358
"44",Ago 2005,6733
"45",Set 2005,7086
"46",Ott 2005,7193
"47",Nov 2005,7562
"48",Dic 2005,7758
"49",Gen 2006,7688
"50",Feb 2006,7339
"51",Mar 2006,8107
"52",Apr 2006,6443
"53",Mag 2006,6977
"54",Giu 2006,7038
"55",Lug 2006,7254
"56",Ago 2006,6549
"57",Set 2006,7266
"58",Ott 2006,7238
"59",Nov 2006,7400
"60",Dic 2006,7364
"61",Gen 2007,7027
"62",Feb 2007,6585
"63",Mar 2007,7009
"64",Apr 2007,6520
"65",Mag 2007,7060
"66",Giu 2007,7010
"67",Lug 2007,7531
"68",Ago 2007,6807
"69",Set 2007,6638
"70",Ott 2007,7420
"71",Nov 2007,7088
"72",Dic 2007,7294
"73",Gen 2008,7157
"74",Feb 2008,6738
"75",Mar 2008,6521
"76",Apr 2008,6708
"77",Mag 2008,6660
"78",Giu 2008,6473
"79",Lug 2008,7197
"80",Ago 2008,6175
"81",Set 2008,6976
"82",Ott 2008,6762
"83",Nov 2008,6324
"84",Dic 2008,6720
"85",Gen 2009,6232
"86",Feb 2009,5829
"87",Mar 2009,6392
"88",Apr 2009,6167
"89",Mag 2009,6213
"90",Giu 2009,6381
"91",Lug 2009,6980
"92",Ago 2009,5809
"93",Set 2009,6213
"94",Ott 2009,6548
"95",Nov 2009,6027
"96",Dic 2009,6436
"97",Gen 2010,5497
"98",Feb 2010,5605
"99",Mar 2010,6275
"100",Apr 2010,5922
"101",Mag 2010,6133
"102",Giu 2010,6244
"103",Lug 2010,6814
"104",Ago 2010,5838
"105",Set 2010,6361
"106",Ott 2010,6248
"107",Nov 2010,6277
"108",Dic 2010,6517
"109",Gen 2011,5697
"110",Feb 2011,5700
"111",Mar 2011,6022
"112",Apr 2011,5964
"113",Mag 2011,5931
"114",Giu 2011,5978
"115",Lug 2011,6155
"116",Ago 2011,5959
"117",Set 2011,6201
"118",Ott 2011,6086
"119",Nov 2011,5649
"120",Dic 2011,5715
"121",Gen 2012,5308
"122",Feb 2012,5121
"123",Mar 2012,5477
"124",Apr 2012,5155
"125",Mag 2012,5460
"126",Giu 2012,5508
"127",Lug 2012,5631
"128",Ago 2012,5292
"129",Set 2012,5202
"130",Ott 2012,5560
"131",Nov 2012,5256
"132",Dic 2012,5259
"133",Gen 2013,4854
"134",Feb 2013,4515
"135",Mar 2013,4823
"136",Apr 2013,4998
"137",Mag 2013,5245
"138",Giu 2013,4949
"139",Lug 2013,5584
"140",Ago 2013,5000
"141",Set 2013,5066
"142",Ott 2013,5269
"143",Nov 2013,4850
"144",Dic 2013,5067
"145",Gen 2014,4607
"146",Feb 2014,4383
"147",Mar 2014,4786
"148",Apr 2014,4732
"149",Mag 2014,4924
"150",Giu 2014,4678
"151",Lug 2014,5190
"152",Ago 2014,4717
"153",Set 2014,4966
"154",Ott 2014,5067
"155",Nov 2014,4518
"156",Dic 2014,5016
"157",Gen 2015,4555
"158",Feb 2015,4439
"159",Mar 2015,4952
"160",Apr 2015,5057
"161",Mag 2015,4888.999999
"162",Giu 2015,4994
"163",Lug 2015,5612
"164",Ago 2015,5015
