"","month","consumi","mese","anno","0040: beni intermedi","0050: beni strumentali","0060: beni di consumo durevoli","0070: beni di consumo - non durevoli","0080: beni di consumo","0090: energia","0020: TOTALE INDUSTRIA ESCLUSE COSTRUZIONI (b-e)","B: estrazione di minerali da cave e miniere","C: attività manifatturiere","D: fornitura di energia elettrica, gas, vapore e aria condizionata","consumi_deseas","indice","consumi_deseas2","predicted","consumi_deseas_scalati"
"1",2016-01-01,27266.816,1,2016,102.2,104.5,106,101.1,101.9,96.3,101.8,99.4,102.4,96.8,25996.8455454282,101.8,675835978.312852,103.809111203147,103.987382181713
"2",2016-02-01,24444.066,2,2016,102.3,103.2,106,100,100.9,97.5,100.7,97.8,101.5,94.4,25532.1821704282,100.7,651892326.383934,102.926566655372,102.128728681713
"3",2016-03-01,25986.869,3,2016,101,102.4,104.9,97.2,98.4,98.8,100.6,90.6,100.8,100.2,25966.4151287616,100.6,674254714.639178,103.751314097197,103.865660515046
"4",2016-04-01,23596.597,4,2016,103.4,104.3,104.8,100.2,100.9,96.6,102.2,81.6,102.8,99.3,26598.2682398727,102.2,707467873.36022,104.951405492836,106.393072959491
"5",2016-05-01,24615.744,5,2016,102.4,100.7,103.1,98.5,99.2,96.9,100.5,85.4,100.7,100.1,25909.0927259838,100.5,671281085.883626,103.642440498031,103.636370903935
"6",2016-06-01,25253.963,6,2016,100.7,101,99,98.2,98.3,94.6,99.3,80.8,99.9,97.5,24597.7924898727,99.3,605051395.374837,101.1518614334,98.3911699594907
"7",2016-07-01,28955.354,7,2016,102.5,102.4,103.8,100.2,100.8,96.8,101.2,78,101.8,99.8,25412.0081461227,101.2,645770158.018606,102.698317700018,101.648032584491
"8",2016-08-01,24217.601,8,2016,103.3,106.7,104.2,100,100.6,96.3,102.1,83.8,103.2,98.4,24747.7817190394,102.1,612452700.013218,101.436739010476,98.9911268761574
"9",2016-09-01,26256.212,9,2016,102.5,103.2,101,101.1,101.1,101.9,102,99.2,102,103.4,26276.344135706,102,690446261.138052,104.339968529616,105.105376542824
"10",2016-10-01,25515.074,10,2016,102.1,105.2,100.1,100.3,100.3,104.8,102.5,99.9,102.2,107.6,25621.042510706,102.5,656437819.335405,103.09534089721,102.484170042824
